new entry "Projectile_Artillerist_MagicMissile_Shot"
type "SpellData"
data "SpellType" "Projectile"
using "Projectile_MAG_MagicMissile_Shot"
data "Level" "3"
data "Cooldown" ""
data "UseCosts" "ActionPoint:1"
data "AmountOfTargets" "1"
data "ProjectileCount" "1"
data "TargetFloor" "-1"
data "TargetRadius" "18"
data "Trajectories" "3eaf2c46-46a9-4b52-8e05-fae7dc4e548b"
data "Icon" "Spell_Evocation_EldritchBlast"
data "DisplayName" "2226e61e8g9b89g4f30gb649gb3a97346a443;1"
data "Description" "2236e61e8g9b89g4f30gb649gb3a97346a443;1"
data "PrepareSound" "Spell_Prepare_Damage_Force_Gen_L1to3"
data "PrepareLoopSound" "Spell_Prepare_Damage_Force_Gen_L1to3_Loop"
data "SpellProperties" ""
data "SpellSuccess" "DealDamage(max(1,2d8+ProficiencyBonus),Force,Magical);Force(5, OriginToTarget)"
data "TooltipDamageList" "DealDamage(2d8+ProficiencyBonus,Force)"
data "SpellRoll" "Attack(AttackType.RangedSpellAttack)"
data "TooltipAttackSave" "RangedSpellAttack"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell;HasHighGroundRangeExtension;RangeIgnoreVerticalThreshold;IsHarmful;AddFallDamageOnLand"
